idade,genero,escolaridade,renda_anual,experiencia_profissional_anos,tipo_moradia,valor_emprestimo,finalidade_emprestimo,taxa_juros_emprestimo,percentual_renda_comprometida,historico_credito_anos,score_credito,inadimplencia_anterior,status_emprestimo
24,masculino,graduacao,241180.0,3,aluguel,12000.0,saude,12.69,0.05,2,634,nao,negado
24,masculino,tecnologo,240894.0,3,financiada,12000.0,reforma_residencial,13.49,0.05,2,678,nao,negado
21,masculino,ensino_medio,240980.0,0,financiada,16000.0,educacao,14.65,0.07,4,557,sim,negado
25,masculino,graduacao,65742.0,3,aluguel,25000.0,reforma_residencial,16.82,0.38,4,672,nao,aprovado
23,masculino,graduacao,72713.0,0,aluguel,25000.0,pessoal,12.73,0.34,3,613,nao,aprovado
23,masculino,ensino_medio,72627.0,3,aluguel,25000.0,pessoal,10.25,0.34,4,566,nao,aprovado
21,masculino,tecnologo,72843.0,0,aluguel,25000.0,educacao,10.99,0.34,4,718,nao,aprovado
25,masculino,ensino_medio,75504.0,4,aluguel,25000.0,saude,12.73,0.33,2,484,nao,aprovado
22,feminino,ensino_medio,68824.0,0,aluguel,25000.0,reforma_residencial,14.96,0.36,3,634,nao,aprovado
23,feminino,graduacao,241167.0,2,financiada,28000.0,educacao,11.01,0.12,2,653,sim,negado
21,masculino,graduacao,241060.0,0,financiada,25000.0,consolidacao_dividas,13.99,0.1,2,699,nao,negado
24,masculino,ensino_medio,240855.0,0,financiada,24000.0,empreendimento,7.49,0.1,4,656,sim,negado
26,masculino,ensino_medio,241030.0,3,financiada,15000.0,educacao,14.79,0.06,3,626,sim,negado
25,masculino,ensino_medio,240895.0,2,financiada,15500.0,consolidacao_dividas,11.99,0.06,2,659,nao,negado
24,feminino,ensino_medio,240932.0,4,aluguel,10000.0,educacao,8.49,0.04,4,604,sim,negado
24,masculino,tecnologo,80145.0,1,aluguel,25000.0,educacao,9.91,0.31,2,636,nao,aprovado
22,masculino,mestrado,80303.0,0,aluguel,25000.0,educacao,13.06,0.31,3,554,nao,aprovado
22,masculino,ensino_medio,241048.0,0,financiada,9000.0,consolidacao_dividas,6.17,0.04,4,587,sim,negado
95,masculino,tecnologo,241424.0,79,financiada,6000.0,educacao,11.86,0.02,2,807,nao,negado
25,masculino,graduacao,241005.0,4,aluguel,18000.0,educacao,16.32,0.07,3,708,sim,negado
25,feminino,mestrado,240768.0,2,financiada,12000.0,empreendimento,10.38,0.05,2,669,sim,negado
25,masculino,tecnologo,241201.0,2,financiada,23050.0,pessoal,14.35,0.1,3,578,nao,negado
24,masculino,graduacao,240920.0,5,financiada,20000.0,consolidacao_dividas,11.01,0.08,3,615,nao,negado
24,feminino,mestrado,72919.0,1,aluguel,25000.0,consolidacao_dividas,11.01,0.34,2,553,nao,aprovado
21,masculino,mestrado,18008.0,0,propria,3000.0,reforma_residencial,11.01,0.17,4,635,nao,aprovado
26,feminino,tecnologo,81238.0,3,aluguel,25000.0,pessoal,15.21,0.31,2,531,nao,aprovado
23,masculino,ensino_medio,80868.0,1,aluguel,25000.0,educacao,7.9,0.31,4,621,nao,aprovado
24,masculino,graduacao,81537.0,1,aluguel,25000.0,empreendimento,10.99,0.31,3,674,nao,aprovado
24,feminino,tecnologo,82741.0,0,aluguel,25000.0,pessoal,14.09,0.3,3,688,nao,aprovado
25,feminino,ensino_medio,83901.0,3,aluguel,25000.0,pessoal,17.49,0.3,2,597,nao,aprovado
25,masculino,tecnologo,240717.0,1,financiada,12000.0,educacao,11.48,0.05,3,640,nao,negado
26,feminino,tecnologo,226744.0,0,financiada,20000.0,empreendimento,17.74,0.09,2,621,nao,aprovado
26,feminino,graduacao,241114.0,5,financiada,3000.0,pessoal,13.92,0.01,3,608,sim,negado
25,masculino,graduacao,85284.0,3,aluguel,25000.0,educacao,15.21,0.29,3,653,nao,aprovado
22,feminino,graduacao,18152.0,0,propria,4000.0,saude,10.99,0.22,3,585,nao,aprovado
24,feminino,ensino_medio,84871.0,3,aluguel,25000.0,educacao,11.86,0.29,4,569,nao,aprovado
24,masculino,graduacao,18294.0,2,propria,6000.0,pessoal,7.49,0.33,3,587,nao,aprovado
24,masculino,graduacao,68029.0,1,aluguel,25000.0,saude,16.49,0.37,4,631,nao,aprovado
25,feminino,ensino_medio,80001.0,4,aluguel,25000.0,empreendimento,15.33,0.31,2,592,nao,aprovado
26,feminino,ensino_medio,79875.0,6,aluguel,25000.0,reforma_residencial,11.58,0.31,4,679,nao,aprovado
25,masculino,ensino_medio,18449.0,1,propria,5375.0,educacao,5.79,0.29,2,645,nao,aprovado
25,masculino,tecnologo,88153.0,0,aluguel,25000.0,saude,13.11,0.28,2,669,nao,aprovado
23,feminino,graduacao,90109.0,0,aluguel,25000.0,saude,10.36,0.28,3,653,nao,aprovado
25,masculino,graduacao,90938.0,1,aluguel,25000.0,consolidacao_dividas,10.36,0.27,2,577,nao,aprovado
24,masculino,ensino_medio,231335.0,0,aluguel,22000.0,saude,11.01,0.1,2,668,sim,negado
21,masculino,graduacao,231829.0,0,financiada,20000.0,empreendimento,6.54,0.09,4,629,nao,negado
25,feminino,tecnologo,230516.0,4,financiada,10000.0,saude,12.53,0.04,4,643,nao,negado
26,masculino,graduacao,229626.0,0,financiada,15000.0,pessoal,11.01,0.07,3,626,nao,negado
22,masculino,graduacao,228907.0,0,financiada,10000.0,empreendimento,11.01,0.04,3,560,sim,negado
24,masculino,graduacao,90938.0,0,aluguel,25000.0,educacao,10.25,0.27,4,648,nao,aprovado
22,masculino,tecnologo,86284.0,0,aluguel,25000.0,educacao,15.95,0.29,4,648,nao,aprovado
26,masculino,tecnologo,228774.0,3,financiada,20000.0,empreendimento,12.18,0.09,4,669,sim,negado
23,masculino,ensino_medio,229027.0,2,propria,24000.0,pessoal,11.83,0.1,3,536,sim,negado
23,masculino,ensino_medio,94789.0,1,aluguel,25000.0,consolidacao_dividas,11.01,0.26,2,548,nao,aprovado
23,feminino,mestrado,94780.0,0,aluguel,25000.0,empreendimento,10.62,0.26,3,667,nao,aprovado
23,masculino,ensino_medio,95298.0,0,aluguel,25000.0,empreendimento,10.74,0.26,3,676,nao,aprovado
25,masculino,tecnologo,223944.0,1,propria,10000.0,empreendimento,10.25,0.04,4,570,sim,negado
24,masculino,ensino_medio,222629.0,0,financiada,35000.0,educacao,12.42,0.16,2,623,nao,negado
25,feminino,graduacao,222973.0,2,aluguel,15000.0,empreendimento,15.27,0.07,2,652,sim,negado
24,feminino,ensino_medio,75240.0,1,aluguel,25000.0,saude,15.33,0.33,2,625,nao,aprovado
23,feminino,ensino_medio,96143.0,1,aluguel,25000.0,empreendimento,15.21,0.26,2,642,nao,aprovado
21,masculino,graduacao,18064.0,0,propria,6250.0,empreendimento,14.72,0.35,2,580,nao,aprovado
24,masculino,tecnologo,96627.0,2,aluguel,25000.0,pessoal,15.7,0.26,2,622,nao,aprovado
24,masculino,graduacao,96309.0,3,aluguel,25000.0,educacao,13.35,0.26,4,581,nao,aprovado
21,feminino,ensino_medio,18421.0,1,financiada,1500.0,saude,11.01,0.08,4,623,nao,negado
24,masculino,mestrado,96836.0,1,aluguel,25000.0,educacao,6.62,0.26,2,583,nao,aprovado
26,masculino,graduacao,96947.0,4,aluguel,25000.0,consolidacao_dividas,13.61,0.26,4,645,nao,aprovado
22,feminino,tecnologo,222975.0,2,aluguel,25000.0,saude,11.36,0.11,2,593,sim,negado
26,masculino,tecnologo,222985.0,3,propria,5000.0,pessoal,7.68,0.02,2,659,sim,negado
24,feminino,graduacao,223064.0,0,aluguel,22000.0,reforma_residencial,14.46,0.1,4,655,sim,negado
23,masculino,tecnologo,221559.0,2,propria,2500.0,educacao,11.83,0.01,2,583,sim,negado
24,feminino,tecnologo,207712.0,0,financiada,20000.0,consolidacao_dividas,13.47,0.1,4,582,nao,aprovado
24,feminino,graduacao,220872.0,1,financiada,20000.0,saude,11.49,0.09,3,504,sim,negado
22,masculino,ensino_medio,220518.0,0,financiada,1000.0,educacao,11.01,0.0,2,551,sim,negado
25,feminino,tecnologo,220510.0,1,financiada,15000.0,pessoal,6.03,0.07,3,529,sim,negado
23,feminino,graduacao,89818.0,0,aluguel,25000.0,consolidacao_dividas,16.35,0.28,4,674,nao,aprovado
26,feminino,ensino_medio,90006.0,4,aluguel,25000.0,consolidacao_dividas,11.01,0.28,4,595,nao,aprovado
25,feminino,ensino_medio,98704.0,6,aluguel,25000.0,consolidacao_dividas,7.29,0.25,3,597,nao,aprovado
23,masculino,ensino_medio,98967.0,5,aluguel,25000.0,saude,11.36,0.25,3,566,nao,aprovado
24,masculino,ensino_medio,99435.0,3,aluguel,25000.0,empreendimento,10.25,0.25,2,666,nao,negado
24,feminino,graduacao,100658.0,1,aluguel,25000.0,educacao,11.12,0.25,3,695,nao,negado
24,feminino,graduacao,100435.0,2,aluguel,25000.0,pessoal,12.92,0.25,3,576,sim,negado
24,masculino,ensino_medio,216925.0,5,aluguel,18000.0,educacao,18.64,0.08,4,651,sim,negado
23,feminino,graduacao,216891.0,0,financiada,28000.0,pessoal,7.51,0.13,3,633,sim,negado
23,masculino,mestrado,18512.0,1,propria,4000.0,reforma_residencial,16.7,0.22,2,566,nao,aprovado
22,masculino,mestrado,18367.0,0,propria,2100.0,pessoal,11.14,0.11,4,583,nao,negado
22,feminino,tecnologo,102317.0,0,aluguel,25000.0,pessoal,18.3,0.24,4,586,sim,negado
24,feminino,tecnologo,103400.0,4,aluguel,25000.0,saude,10.62,0.24,4,592,sim,negado
24,masculino,graduacao,217134.0,2,financiada,14000.0,empreendimento,11.99,0.06,2,598,sim,negado
26,masculino,mestrado,217024.0,1,financiada,12000.0,empreendimento,9.63,0.06,4,637,sim,negado
25,feminino,ensino_medio,172215.0,5,financiada,10000.0,saude,18.25,0.06,4,628,nao,aprovado
23,masculino,mestrado,18831.0,0,financiada,6000.0,consolidacao_dividas,11.01,0.32,4,667,nao,aprovado
24,masculino,tecnologo,105349.0,5,aluguel,25000.0,reforma_residencial,14.84,0.24,3,621,sim,negado
24,masculino,graduacao,91184.0,1,aluguel,25000.0,empreendimento,14.7,0.27,3,668,nao,aprovado
